vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Joe Biden,Female,"Less than $14,999",Associate Degree,WI,21 to 30,other asian or pacific islander,Female 21 to 30
Joe Biden,Female,"Less than $14,999",High school graduate,IL,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$25,000 to $29,999",Completed some high school,HI,31 to 40,other asian or pacific islander,Female 31 to 40
Joe Biden,Male,"$45,000 to $49,999","Completed some college, but no degree",CA,31 to 40,Other race,Male 31 to 40
Donald Trump,Female,"$100,000 to $124,999",Masters degree,NY,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,CA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$25,000 to $29,999",Completed some high school,MO,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$200,000 to $249,999",Associate Degree,MI,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,NY,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$50,000 to $54,999","Completed some college, but no degree",FL,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999",High school graduate,NV,20 or less,Other race,Female 20 or less
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",NC,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Male,"$200,000 to $249,999",Masters degree,MS,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Male,"$30,000 to $34,999","Completed some college, but no degree",MI,61 to 70,"Black, or African American",Male 61 to 70
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,AZ,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$90,000 to $94,999","Completed some college, but no degree",MI,20 or less,White,Female 20 or less
Joe Biden,Male,"$100,000 to $124,999",Masters degree,CA,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$65,000 to $69,999","Completed some college, but no degree",IL,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$85,000 to $89,999",Masters degree,CA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,FL,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$100,000 to $124,999",Completed some high school,CA,20 or less,Other race,Male 20 or less
Joe Biden,Female,"$125,000 to $149,999","Completed some college, but no degree",TX,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Male,"$60,000 to $64,999",Associate Degree,TX,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$30,000 to $34,999","Completed some college, but no degree",IN,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$55,000 to $59,999","Completed some college, but no degree",FL,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$75,000 to $79,999",Associate Degree,MN,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$90,000 to $94,999","Completed some college, but no degree",FL,20 or less,White,Female 20 or less
Donald Trump,Male,"Less than $14,999","Completed some college, but no degree",WV,31 to 40,White,Male 31 to 40
Donald Trump,Male,"Less than $14,999",Associate Degree,KS,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$20,000 to $24,999",Associate Degree,CA,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"$15,000 to $19,999",High school graduate,KY,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$250,000 and above","Completed some college, but no degree",TX,20 or less,White,Female 20 or less
Donald Trump,Male,"$70,000 to $74,999",High school graduate,PA,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$80,000 to $84,999",High school graduate,OH,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$250,000 and above",Masters degree,NJ,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$25,000 to $29,999",High school graduate,WV,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,PA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$95,000 to $99,999","Completed some college, but no degree",NC,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$60,000 to $64,999",Associate Degree,VA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$150,000 to $174,999",Masters degree,NY,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,CA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$250,000 and above",Associate Degree,VA,71 to 80,White,Female 71 to 80
Joe Biden,Male,"Less than $14,999",High school graduate,IL,41 to 50,"Black, or African American",Male 41 to 50
Donald Trump,Male,"$60,000 to $64,999",Associate Degree,NC,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$150,000 to $174,999",Masters degree,FL,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,TX,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$50,000 to $54,999",Doctorate degree,MA,41 to 50,Chinese,Female 41 to 50
Donald Trump,Female,"$25,000 to $29,999",High school graduate,GA,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,NY,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$45,000 to $49,999",High school graduate,KY,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$70,000 to $74,999","Completed some college, but no degree",AZ,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$50,000 to $54,999",Masters degree,NY,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Female,"$100,000 to $124,999","Completed some college, but no degree",FL,71 to 80,White,Female 71 to 80
Joe Biden,Male,"$40,000 to $44,999",High school graduate,TX,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$90,000 to $94,999",Associate Degree,TX,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$15,000 to $19,999",High school graduate,WI,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$100,000 to $124,999",Doctorate degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$60,000 to $64,999",Associate Degree,CA,20 or less,White,Male 20 or less
Joe Biden,Male,"$70,000 to $74,999",Associate Degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,CT,20 or less,"Black, or African American",Female 20 or less
Joe Biden,Male,"$85,000 to $89,999",Associate Degree,NC,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$20,000 to $24,999",Associate Degree,CA,21 to 30,Other race,Female 21 to 30
Joe Biden,Female,"$150,000 to $174,999","Completed some college, but no degree",CA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$50,000 to $54,999",High school graduate,IA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$50,000 to $54,999",Masters degree,NJ,31 to 40,other asian or pacific islander,Female 31 to 40
Donald Trump,Male,"Less than $14,999",High school graduate,UT,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,CA,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$40,000 to $44,999",Associate Degree,CT,61 to 70,"Black, or African American",Male 61 to 70
Joe Biden,Female,"$55,000 to $59,999",Associate Degree,NV,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",MN,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$15,000 to $19,999",Associate Degree,CA,20 or less,White,Male 20 or less
Joe Biden,Female,"Less than $14,999",Associate Degree,KY,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$25,000 to $29,999",High school graduate,CA,20 or less,White,Female 20 or less
Donald Trump,Male,"$200,000 to $249,999",Associate Degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$35,000 to $39,999",Associate Degree,FL,21 to 30,Other race,Female 21 to 30
Donald Trump,Male,"$60,000 to $64,999",Associate Degree,TX,above 80,White,Male above 80
Donald Trump,Female,"$80,000 to $84,999",Associate Degree,CA,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$30,000 to $34,999",Associate Degree,OR,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,NJ,21 to 30,other asian or pacific islander,Male 21 to 30
Joe Biden,Female,"$75,000 to $79,999",Associate Degree,CA,21 to 30,Other race,Female 21 to 30
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,CA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$40,000 to $44,999","Completed some college, but no degree",SC,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,TX,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$30,000 to $34,999","Completed some college, but no degree",TX,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$20,000 to $24,999",High school graduate,AZ,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$150,000 to $174,999",Doctorate degree,IN,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$25,000 to $29,999",High school graduate,NJ,21 to 30,Other race,Female 21 to 30
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,CA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$95,000 to $99,999",Associate Degree,NC,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$250,000 and above",Associate Degree,CA,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Associate Degree,LA,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$45,000 to $49,999",Masters degree,MT,71 to 80,White,Male 71 to 80
Donald Trump,Male,"Less than $14,999",High school graduate,OH,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$65,000 to $69,999",Associate Degree,MN,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$20,000 to $24,999","Completed some college, but no degree",KS,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Male,"$125,000 to $149,999",Masters degree,MD,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,AL,31 to 40,other asian or pacific islander,Female 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Masters degree,MN,41 to 50,White,Female 41 to 50
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",CA,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Female,"$45,000 to $49,999",High school graduate,TX,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$50,000 to $54,999","Completed some college, but no degree",MD,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Male,"$30,000 to $34,999",Completed some high school,AL,31 to 40,White,Male 31 to 40
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",FL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"Less than $14,999",Associate Degree,CA,21 to 30,other asian or pacific islander,Female 21 to 30
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,TX,21 to 30,Other race,Male 21 to 30
Donald Trump,Female,"$70,000 to $74,999",Masters degree,AR,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,IL,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,NY,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$55,000 to $59,999",Associate Degree,MA,61 to 70,"Black, or African American",Female 61 to 70
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,SD,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$70,000 to $74,999","Completed some college, but no degree",WI,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Associate Degree,CA,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Male,"$15,000 to $19,999",Completed some high school,TX,20 or less,Other race,Male 20 or less
Donald Trump,Female,"$15,000 to $19,999","Completed some college, but no degree",MN,21 to 30,Other race,Female 21 to 30
Joe Biden,Male,"$40,000 to $44,999",Associate Degree,NV,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$15,000 to $19,999",High school graduate,GA,51 to 60,"Black, or African American",Male 51 to 60
Donald Trump,Male,"Less than $14,999",Masters degree,AL,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$25,000 to $29,999",High school graduate,NY,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,KS,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$95,000 to $99,999",Completed some high school,TX,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,AZ,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$95,000 to $99,999",High school graduate,MO,21 to 30,White,Male 21 to 30
Joe Biden,Female,"Less than $14,999",Associate Degree,CA,21 to 30,Other race,Female 21 to 30
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",VA,20 or less,"Black, or African American",Female 20 or less
Joe Biden,Female,"$125,000 to $149,999","Completed some college, but no degree",DE,20 or less,White,Female 20 or less
Donald Trump,Male,"$150,000 to $174,999",Masters degree,NV,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$150,000 to $174,999","Completed some college, but no degree",TX,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$25,000 to $29,999",Masters degree,NM,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$55,000 to $59,999","Completed some college, but no degree",AL,21 to 30,White,Male 21 to 30
Donald Trump,Female,"$25,000 to $29,999",High school graduate,MO,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$50,000 to $54,999",Masters degree,FL,above 80,White,Female above 80
Donald Trump,Female,"$100,000 to $124,999",Masters degree,IL,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$60,000 to $64,999",Associate Degree,TX,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$50,000 to $54,999","Completed some college, but no degree",AZ,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,MI,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",Completed some high school,MI,20 or less,White,Female 20 or less
Donald Trump,Male,"$25,000 to $29,999",Masters degree,OK,51 to 60,White,Male 51 to 60
Donald Trump,Female,"Less than $14,999",Completed some high school,IL,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Male,"$15,000 to $19,999","Completed some college, but no degree",TN,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Male,"$100,000 to $124,999",High school graduate,PA,51 to 60,Other race,Male 51 to 60
Joe Biden,Male,"Less than $14,999",High school graduate,TX,20 or less,White,Male 20 or less
Donald Trump,Female,"$65,000 to $69,999","Completed some college, but no degree",CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$50,000 to $54,999",Completed some high school,GA,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,WI,31 to 40,Other race,Male 31 to 40
Joe Biden,Male,"$25,000 to $29,999",Completed some high school,NC,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$20,000 to $24,999",Associate Degree,CO,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,NJ,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$20,000 to $24,999",Completed some high school,LA,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$65,000 to $69,999",Completed some high school,IL,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$65,000 to $69,999",High school graduate,MA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$100,000 to $124,999",High school graduate,OH,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$250,000 and above",Masters degree,FL,21 to 30,Japanese,Female 21 to 30
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Male,"Less than $14,999",High school graduate,CA,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$20,000 to $24,999",3rd Grade or less,CA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$60,000 to $64,999",Completed some high school,CA,41 to 50,Other race,Male 41 to 50
Joe Biden,Male,"$60,000 to $64,999","Completed some college, but no degree",IL,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$95,000 to $99,999",Associate Degree,CA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$250,000 and above",High school graduate,TX,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$45,000 to $49,999",Associate Degree,MI,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$55,000 to $59,999",Completed some high school,NY,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$70,000 to $74,999",High school graduate,IL,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$35,000 to $39,999",Completed some high school,TN,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,MD,51 to 60,other asian or pacific islander,Male 51 to 60
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",NH,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$35,000 to $39,999",Completed some high school,WY,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,FL,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Female,"$75,000 to $79,999",Associate Degree,GA,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,AZ,21 to 30,White,Male 21 to 30
Donald Trump,Male,"Less than $14,999",High school graduate,VA,31 to 40,Other race,Male 31 to 40
Donald Trump,Male,"Less than $14,999",Middle School - Grades 4 - 8,VA,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$75,000 to $79,999","Completed some college, but no degree",TX,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$70,000 to $74,999",Masters degree,KY,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,CA,31 to 40,Chinese,Male 31 to 40
Joe Biden,Female,"$250,000 and above",Associate Degree,NY,21 to 30,other asian or pacific islander,Female 21 to 30
Donald Trump,Female,"$45,000 to $49,999",High school graduate,TX,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$20,000 to $24,999","Completed some college, but no degree",MO,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$30,000 to $34,999",High school graduate,PA,61 to 70,White,Male 61 to 70
